web_scraper_order,web_scraper_start_url,place,conference
"1776224039-1","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Oklahoma City Thunder","64-18"
"1776224039-2","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","San Antonio Spurs","62-20"
"1776224039-3","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Detroit Pistons","60-22"
"1776224039-4","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Boston Celtics","56-26"
"1776224039-5","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Denver Nuggets","54-28"
"1776224039-6","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Los Angeles Lakers","53-29"
"1776224039-7","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","New York Knicks","53-29"
"1776224039-8","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Cleveland Cavaliers","52-30"
"1776224039-9","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Houston Rockets","52-30"
"1776224039-10","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Minnesota Timberwolves","49-33"
"1776224039-11","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Atlanta Hawks","46-36"
"1776224039-12","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Toronto Raptors","46-36"
"1776224039-13","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Orlando Magic","45-37"
"1776224039-14","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Philadelphia 76ers","45-37"
"1776224039-15","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Phoenix Suns","45-37"
"1776224039-16","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Charlotte Hornets","44-38"
"1776224039-17","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Miami Heat","43-39"
"1776224039-18","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Los Angeles Clippers","42-40"
"1776224039-19","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Portland Trail Blazers","42-40"
"1776224039-20","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Golden State Warriors","37-45"
"1776224039-21","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Milwaukee Bucks","32-50"
"1776224039-22","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Chicago Bulls","31-51"
"1776224039-23","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Dallas Mavericks","26-56"
"1776224039-24","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","New Orleans Pelicans","26-56"
"1776224039-25","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Memphis Grizzlies","25-57"
"1776224039-26","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Sacramento Kings","22-60"
"1776224039-27","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Utah Jazz","22-60"
"1776224039-28","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Brooklyn Nets","20-62"
"1776224039-29","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Indiana Pacers","19-63"
"1776224039-30","https://www.basketball-reference.com/leagues/NBA_2026_standings.html","Washington Wizards","17-65"
