Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age_adv,Pos_adv,G_adv,GS_adv,MP_adv,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,W,L,total_games,win_pct,games_pct,Season,PTS_pct,BPM_pct,VORP_pct,WS_pct,win_pct_pct,TS%_pct,PER_pct,MVP_Score,is_mvp
Luka Dončić,26.0,LAL,PG,64.0,64.0,35.8,10.8,22.8,0.476,4.0,10.8,0.366,6.9,11.9,0.575,0.563,7.9,10.1,0.78,0.6,7.1,7.7,8.3,1.6,0.5,4.0,2.4,33.5,26.0,PG,64.0,64.0,2289.0,27.9,0.616,0.476,0.443,2.2,22.5,12.7,40.5,2.2,1.4,12.8,38.1,6.6,2.9,9.5,0.199,8.0,1.3,9.3,6.6,53.0,29.0,82.0,0.6463414634146342,0.7804878048780488,2026,1.0,0.9832402234636871,0.9888268156424581,0.9608938547486033,0.776536312849162,0.7793296089385475,0.9804469273743017,,
Shai Gilgeous-Alexander,27.0,OKC,PG,68.0,68.0,33.2,10.8,19.4,0.553,1.7,4.4,0.386,9.1,15.0,0.602,0.597,7.9,9.0,0.879,0.6,3.7,4.3,6.6,1.4,0.8,2.2,2.0,31.1,27.0,PG,68.0,68.0,2259.0,30.8,0.665,0.226,0.465,1.9,11.7,7.0,35.0,2.0,2.3,8.7,33.4,11.1,4.1,15.2,0.323,8.7,3.0,11.7,7.8,64.0,18.0,82.0,0.7804878048780488,0.8292682926829268,2026,0.994413407821229,0.994413407821229,0.994413407821229,1.0,0.9832402234636871,0.9497206703910615,0.994413407821229,,
Anthony Edwards,24.0,MIN,SG,61.0,60.0,35.0,9.9,20.2,0.489,3.4,8.4,0.399,6.5,11.8,0.554,0.572,5.7,7.2,0.796,0.6,4.4,5.0,3.7,1.4,0.8,2.9,1.9,28.8,24.0,SG,61.0,60.0,2137.0,21.8,0.617,0.418,0.355,1.9,13.4,7.8,17.6,1.9,2.0,10.9,31.5,3.9,2.7,6.5,0.147,4.7,-0.1,4.5,3.5,49.0,33.0,82.0,0.5975609756097561,0.7439024390243902,2026,0.9888268156424581,0.9413407821229051,0.9189944134078212,0.8044692737430168,0.6675977653631285,0.7905027932960894,0.9273743016759777,,
Jaylen Brown,29.0,BOS,SF,71.0,71.0,34.4,10.4,21.7,0.477,2.0,5.7,0.347,8.4,16.0,0.523,0.522,6.0,7.5,0.795,1.1,5.8,6.9,5.1,1.0,0.4,3.6,2.7,28.7,29.0,SF,71.0,71.0,2443.0,22.0,0.573,0.262,0.347,3.7,18.1,11.1,25.9,1.5,1.1,12.7,36.2,3.5,3.4,6.9,0.135,3.5,-0.1,3.3,3.3,56.0,26.0,82.0,0.6829268292682927,0.8658536585365854,2026,0.9832402234636871,0.8854748603351955,0.8910614525139665,0.835195530726257,0.8603351955307262,0.3659217877094972,0.946927374301676,,
Tyrese Maxey,25.0,PHI,PG,70.0,70.0,38.0,9.9,21.4,0.462,3.1,8.6,0.367,6.8,12.9,0.525,0.536,5.3,6.0,0.892,0.3,3.8,4.1,6.6,1.9,0.8,2.4,2.2,28.3,25.0,PG,70.0,70.0,2661.0,21.9,0.588,0.399,0.278,1.0,11.0,5.9,28.9,2.4,1.9,9.2,29.4,5.9,2.8,8.7,0.156,5.0,0.5,5.4,4.9,45.0,37.0,82.0,0.5487804878048781,0.8536585365853658,2026,0.9776536312849162,0.9664804469273743,0.9720670391061452,0.9245810055865922,0.5307262569832403,0.5698324022346368,0.9385474860335196,,
Kawhi Leonard,34.0,LAC,SF,65.0,65.0,32.1,9.8,19.4,0.505,2.6,6.8,0.387,7.1,12.5,0.569,0.573,5.7,6.4,0.892,1.1,5.3,6.4,3.6,1.9,0.4,2.0,1.2,27.9,34.0,SF,65.0,65.0,2085.0,27.9,0.629,0.354,0.331,4.1,18.6,11.5,21.0,2.9,1.2,8.4,33.5,6.5,2.7,9.2,0.212,7.4,0.6,8.0,5.3,42.0,40.0,82.0,0.5121951219512195,0.7926829268292683,2026,0.9692737430167597,0.9776536312849162,0.9776536312849162,0.9497206703910615,0.3770949720670391,0.8659217877094972,0.9804469273743017,,
Donovan Mitchell,29.0,CLE,SG,70.0,70.0,33.5,9.7,20.0,0.483,3.2,8.8,0.364,6.5,11.2,0.577,0.563,5.3,6.1,0.865,0.7,3.8,4.5,5.7,1.5,0.3,2.8,2.3,27.9,29.0,SG,70.0,70.0,2342.0,22.9,0.613,0.439,0.306,2.4,12.4,7.4,27.9,2.1,0.8,11.1,32.2,5.8,2.4,8.2,0.169,5.2,-0.2,5.1,4.2,52.0,30.0,82.0,0.6341463414634146,0.8536585365853658,2026,0.9692737430167597,0.9608938547486033,0.952513966480447,0.9050279329608939,0.7150837988826816,0.7653631284916201,0.9664804469273743,,
Nikola Jokić,30.0,DEN,C,65.0,65.0,34.8,9.9,17.4,0.569,1.7,4.5,0.38,8.2,12.9,0.636,0.618,6.1,7.4,0.831,3.0,9.9,12.9,10.7,1.4,0.8,3.7,2.7,27.7,30.0,C,65.0,65.0,2265.0,32.3,0.67,0.261,0.424,10.0,30.4,20.7,50.3,2.0,2.2,15.3,30.4,11.5,3.4,14.9,0.316,10.1,4.1,14.2,9.2,54.0,28.0,82.0,0.6585365853658537,0.7926829268292683,2026,0.9608938547486033,1.0,1.0,0.994413407821229,0.8268156424581006,0.9608938547486033,1.0,,
Devin Booker,29.0,PHO,SG,64.0,64.0,33.5,8.5,18.7,0.456,1.9,5.8,0.33,6.6,12.9,0.512,0.507,7.1,8.1,0.873,0.8,3.1,3.9,6.0,0.8,0.3,3.1,2.6,26.1,29.0,SG,64.0,64.0,2146.0,20.4,0.585,0.309,0.434,2.4,10.7,6.4,30.2,1.2,0.8,12.3,32.2,4.7,1.8,6.5,0.145,3.2,-1.0,2.2,2.3,45.0,37.0,82.0,0.5487804878048781,0.7804878048780488,2026,0.9553072625698324,0.7541899441340782,0.776536312849162,0.8044692737430168,0.5307262569832403,0.5223463687150838,0.8798882681564246,,
Jalen Brunson,29.0,NYK,PG,74.0,74.0,35.0,9.3,19.9,0.467,2.6,7.1,0.369,6.7,12.8,0.522,0.533,4.8,5.7,0.841,0.4,2.9,3.3,6.8,0.8,0.1,2.4,2.3,26.0,29.0,PG,74.0,74.0,2590.0,20.1,0.58,0.358,0.285,1.3,9.4,5.3,31.3,1.1,0.3,9.5,30.4,6.5,2.2,8.8,0.163,4.0,-0.9,3.1,3.3,53.0,29.0,82.0,0.6463414634146342,0.9024390243902439,2026,0.946927374301676,0.8687150837988827,0.8910614525139665,0.9329608938547486,0.776536312849162,0.4553072625698324,0.8603351955307262,,
Kevin Durant,37.0,HOU,SF,78.0,78.0,36.4,9.2,17.6,0.52,2.4,5.8,0.413,6.8,11.9,0.572,0.588,5.2,6.0,0.874,0.5,4.9,5.5,4.8,0.8,0.9,3.2,1.8,26.0,37.0,SF,78.0,78.0,2840.0,21.1,0.641,0.327,0.339,1.6,14.8,8.3,20.7,1.1,2.3,13.5,27.1,7.5,3.2,10.7,0.18,4.4,0.1,4.5,4.7,52.0,30.0,82.0,0.6341463414634146,0.9512195121951219,2026,0.946927374301676,0.9413407821229051,0.9664804469273743,0.9832402234636871,0.7150837988826816,0.9050279329608939,0.8994413407821229,,
Jamal Murray,28.0,DEN,PG,75.0,75.0,35.4,8.8,18.1,0.483,3.3,7.5,0.435,5.5,10.6,0.517,0.573,4.6,5.2,0.887,0.4,4.0,4.4,7.1,0.9,0.4,2.3,1.7,25.4,28.0,PG,75.0,75.0,2652.0,21.8,0.622,0.414,0.287,1.4,12.0,7.0,31.1,1.2,1.0,10.0,27.9,7.8,1.7,9.5,0.173,5.5,-1.4,4.1,4.1,54.0,28.0,82.0,0.6585365853658537,0.9146341463414634,2026,0.9385474860335196,0.9050279329608939,0.9441340782122905,0.9608938547486033,0.8268156424581006,0.8324022346368715,0.9273743016759777,,
Victor Wembanyama,22.0,SAS,C,64.0,55.0,29.2,8.6,16.9,0.512,1.9,5.5,0.349,6.7,11.4,0.59,0.569,5.8,7.0,0.827,2.0,9.5,11.5,3.1,1.0,3.1,2.4,2.4,25.0,22.0,C,64.0,55.0,1866.0,29.9,0.626,0.324,0.417,7.7,33.9,21.2,17.6,1.7,9.4,10.8,32.4,5.0,5.0,10.0,0.257,6.5,4.2,10.7,6.0,62.0,20.0,82.0,0.7560975609756098,0.7804878048780488,2026,0.9329608938547486,0.9888268156424581,0.9832402234636871,0.9720670391061452,0.9385474860335196,0.8435754189944135,0.9888268156424581,,
Deni Avdija,25.0,POR,SF,66.0,66.0,33.3,7.5,16.1,0.462,1.9,6.0,0.318,5.6,10.2,0.547,0.521,7.4,9.2,0.802,1.1,5.8,6.9,6.7,0.8,0.6,3.8,2.5,24.2,25.0,SF,66.0,66.0,2199.0,20.3,0.6,0.369,0.573,3.6,19.0,11.2,32.2,1.1,1.7,16.0,29.3,4.5,2.4,7.0,0.152,3.7,0.6,4.3,3.5,42.0,40.0,82.0,0.5121951219512195,0.8048780487804879,2026,0.9273743016759777,0.9329608938547486,0.9189944134078212,0.8463687150837989,0.3770949720670391,0.6675977653631285,0.8687150837988827,,
Pascal Siakam,31.0,IND,PF,62.0,62.0,33.2,9.0,18.6,0.484,1.7,4.7,0.358,7.3,13.9,0.527,0.529,4.2,6.1,0.693,1.4,5.2,6.6,3.8,1.1,0.4,2.2,2.4,24.0,31.0,PF,62.0,62.0,2057.0,18.6,0.562,0.254,0.327,4.6,17.4,10.9,19.9,1.6,1.0,9.5,30.1,1.1,1.5,2.6,0.062,1.8,-1.0,0.7,1.4,19.0,63.0,82.0,0.23170731707317074,0.7560975609756098,2026,0.9217877094972067,0.5558659217877095,0.5754189944134078,0.24022346368715083,0.0446927374301676,0.2681564245810056,0.8100558659217877,,
Cade Cunningham,24.0,DET,PG,64.0,64.0,33.9,8.6,18.6,0.461,2.0,5.7,0.342,6.6,12.9,0.514,0.513,4.8,6.0,0.812,0.9,4.7,5.5,9.9,1.4,0.8,3.7,3.1,23.9,24.0,PG,64.0,64.0,2172.0,21.6,0.564,0.308,0.321,2.9,15.2,9.2,45.2,2.0,2.5,14.8,30.5,4.2,3.6,7.9,0.174,4.8,1.5,6.3,4.6,60.0,22.0,82.0,0.7317073170731707,0.7804878048780488,2026,0.9162011173184358,0.9720670391061452,0.9608938547486033,0.88268156424581,0.8938547486033519,0.2877094972067039,0.9134078212290503,,
Keyonte George,22.0,UTA,PG,54.0,54.0,33.1,7.4,16.3,0.456,2.5,6.7,0.371,5.0,9.6,0.515,0.532,6.2,7.0,0.892,0.4,3.3,3.7,6.1,1.1,0.3,3.1,2.2,23.6,22.0,PG,54.0,54.0,1786.0,18.5,0.609,0.41,0.429,1.4,10.9,6.0,28.4,1.5,0.8,13.7,27.9,3.1,0.1,3.3,0.088,3.0,-2.1,0.9,1.3,22.0,60.0,82.0,0.2682926829268293,0.6585365853658537,2026,0.9106145251396648,0.5893854748603352,0.5391061452513967,0.3770949720670391,0.13128491620111732,0.723463687150838,0.8044692737430168,,
Jalen Johnson,24.0,ATL,SF,72.0,72.0,35.2,8.3,17.1,0.489,1.7,4.7,0.352,6.7,12.3,0.541,0.537,4.2,5.3,0.788,1.4,8.9,10.3,7.9,1.2,0.4,3.4,2.1,22.5,24.0,SF,72.0,72.0,2532.0,20.4,0.581,0.278,0.311,4.3,27.8,15.9,33.5,1.7,1.1,14.9,27.0,3.6,3.9,7.5,0.141,2.8,1.4,4.2,4.0,46.0,36.0,82.0,0.5609756097560976,0.8780487804878049,2026,0.9050279329608939,0.9189944134078212,0.9385474860335196,0.8715083798882681,0.6145251396648045,0.4692737430167598,0.8798882681564246,,
Paolo Banchero,23.0,ORL,PF,72.0,72.0,34.8,7.3,16.0,0.459,1.2,3.8,0.305,6.2,12.2,0.507,0.496,6.3,8.2,0.775,1.2,7.2,8.4,5.2,0.7,0.6,3.1,2.0,22.2,23.0,PF,72.0,72.0,2502.0,17.6,0.566,0.239,0.512,3.8,23.4,13.5,23.4,1.0,1.4,13.6,27.6,2.0,3.0,5.0,0.095,1.4,0.0,1.4,2.1,45.0,37.0,82.0,0.5487804878048781,0.8780487804878049,2026,0.8994413407821229,0.6620111731843575,0.7513966480446927,0.5949720670391061,0.5307262569832403,0.30726256983240224,0.7430167597765364,,
Norman Powell,32.0,MIA,SG,58.0,52.0,29.6,7.3,15.4,0.47,2.7,7.1,0.38,4.6,8.4,0.546,0.558,4.5,5.5,0.827,0.4,3.1,3.5,2.5,1.1,0.2,1.9,2.2,21.7,32.0,SG,58.0,52.0,1717.0,17.5,0.609,0.458,0.355,1.3,11.0,6.1,12.5,1.7,0.7,9.7,27.2,2.3,1.7,4.0,0.112,1.8,-0.3,1.6,1.5,43.0,39.0,82.0,0.524390243902439,0.7073170731707317,2026,0.8938547486033519,0.6899441340782123,0.6145251396648045,0.4581005586592179,0.4245810055865922,0.723463687150838,0.729050279329609,,
Brandon Ingram,28.0,TOR,SF,77.0,77.0,33.8,8.0,16.7,0.477,1.8,4.6,0.382,6.2,12.1,0.512,0.529,3.8,4.6,0.82,0.8,4.8,5.6,3.7,0.8,0.7,2.4,1.9,21.5,28.0,SF,77.0,77.0,2604.0,16.3,0.573,0.274,0.276,2.7,16.1,9.4,16.8,1.1,2.0,11.5,26.9,1.5,3.1,4.6,0.084,1.0,-0.5,0.5,1.7,46.0,36.0,82.0,0.5609756097560976,0.9390243902439024,2026,0.8854748603351955,0.5307262569832403,0.6536312849162011,0.5446927374301676,0.6145251396648045,0.3659217877094972,0.6229050279329609,,
Trey Murphy III,25.0,NOP,SF,66.0,66.0,35.5,7.5,15.9,0.47,3.2,8.6,0.379,4.2,7.3,0.577,0.572,3.3,3.7,0.886,1.0,4.8,5.7,3.8,1.5,0.4,1.8,2.1,21.5,25.0,SF,66.0,66.0,2341.0,18.3,0.613,0.538,0.234,2.9,14.6,8.7,16.2,2.0,1.0,9.4,22.7,4.5,1.6,6.0,0.123,3.0,-0.6,2.4,2.6,26.0,56.0,82.0,0.3170731707317073,0.8048780487804879,2026,0.8854748603351955,0.7737430167597765,0.840782122905028,0.6899441340782123,0.22346368715083798,0.7653631284916201,0.7932960893854749,,
Julius Randle,31.0,MIN,PF,79.0,79.0,33.0,7.3,15.3,0.481,1.4,4.4,0.315,6.0,10.9,0.547,0.526,5.0,6.3,0.802,1.7,5.1,6.7,5.0,1.1,0.2,2.7,2.8,21.1,31.0,PF,79.0,79.0,2610.0,18.4,0.585,0.287,0.411,5.7,16.5,11.2,23.1,1.6,0.6,13.2,26.5,4.3,3.1,7.4,0.135,1.5,0.0,1.5,2.3,49.0,33.0,82.0,0.5975609756097561,0.9634146341463414,2026,0.8770949720670391,0.6815642458100558,0.776536312849162,0.8603351955307262,0.6675977653631285,0.5223463687150838,0.7988826815642458,,
Cooper Flagg,19.0,DAL,SF,70.0,70.0,33.5,8.0,17.1,0.468,1.0,3.5,0.295,7.0,13.6,0.513,0.498,4.0,4.9,0.827,1.2,5.4,6.7,4.5,1.2,0.9,2.3,2.0,21.0,19.0,SF,70.0,70.0,2344.0,17.9,0.548,0.204,0.286,3.9,17.0,10.5,21.5,1.7,2.3,10.7,26.9,1.3,2.5,3.8,0.078,1.0,0.4,1.4,2.0,26.0,56.0,82.0,0.3170731707317073,0.8536585365853658,2026,0.8687150837988827,0.6620111731843575,0.729050279329609,0.42178770949720673,0.22346368715083798,0.19273743016759776,0.7653631284916201,,
Zion Williamson,25.0,NOP,PF,62.0,55.0,29.7,7.8,13.0,0.6,0.0,0.1,0.25,7.8,13.0,0.601,0.6,5.4,7.5,0.716,2.0,3.7,5.7,3.2,1.0,0.5,2.0,2.3,21.0,25.0,PF,62.0,55.0,1841.0,22.6,0.644,0.005,0.576,7.2,13.5,10.3,17.7,1.6,1.7,11.1,25.7,5.0,1.0,6.1,0.159,3.5,-0.6,2.9,2.3,26.0,56.0,82.0,0.3170731707317073,0.7560975609756098,2026,0.8687150837988827,0.8435754189944135,0.776536312849162,0.7039106145251397,0.22346368715083798,0.9162011173184358,0.9608938547486033,,
LeBron James,41.0,LAL,SF,60.0,60.0,33.2,7.9,15.3,0.515,1.3,4.1,0.317,6.6,11.3,0.586,0.557,3.9,5.3,0.737,0.7,5.4,6.1,7.2,1.2,0.6,3.0,1.4,20.9,41.0,SF,60.0,60.0,1989.0,20.8,0.594,0.264,0.344,2.6,18.3,10.7,34.1,1.8,1.6,14.5,27.2,3.4,2.1,5.4,0.131,3.3,0.2,3.5,2.8,53.0,29.0,82.0,0.6463414634146342,0.7317073170731707,2026,0.8603351955307262,0.8938547486033519,0.8575418994413407,0.6396648044692738,0.776536312849162,0.6229050279329609,0.888268156424581,,
Nickeil Alexander-Walker,27.0,ATL,SG,78.0,71.0,33.4,7.0,15.3,0.459,3.2,8.1,0.399,3.8,7.3,0.525,0.564,3.6,3.9,0.902,0.7,2.8,3.4,3.7,1.3,0.5,2.1,2.2,20.8,27.0,SG,78.0,71.0,2603.0,16.5,0.61,0.526,0.257,2.1,9.1,5.6,15.8,1.9,1.5,10.9,23.9,3.6,2.7,6.3,0.116,1.6,-0.4,1.2,2.1,46.0,36.0,82.0,0.5609756097560976,0.9512195121951219,2026,0.8547486033519553,0.6256983240223464,0.7513966480446927,0.7597765363128491,0.6145251396648045,0.7402234636871509,0.6368715083798883,,
