Team,W,Season
Cleveland Cavaliers*,57,2016
Toronto Raptors*,56,2016
Miami Heat*,48,2016
Atlanta Hawks*,48,2016
Boston Celtics*,48,2016
Charlotte Hornets*,48,2016
Indiana Pacers*,45,2016
Detroit Pistons*,44,2016
Chicago Bulls,42,2016
Washington Wizards,41,2016
Orlando Magic,35,2016
Milwaukee Bucks,33,2016
New York Knicks,32,2016
Brooklyn Nets,21,2016
Philadelphia 76ers,10,2016
Golden State Warriors*,73,2016
San Antonio Spurs*,67,2016
Oklahoma City Thunder*,55,2016
Los Angeles Clippers*,53,2016
Portland Trail Blazers*,44,2016
Dallas Mavericks*,42,2016
Memphis Grizzlies*,42,2016
Houston Rockets*,41,2016
Utah Jazz,40,2016
Sacramento Kings,33,2016
Denver Nuggets,33,2016
New Orleans Pelicans,30,2016
Minnesota Timberwolves,29,2016
Phoenix Suns,23,2016
Los Angeles Lakers,17,2016
Atlantic Division,Atlantic Division,2016
Toronto Raptors*,56,2016
Boston Celtics*,48,2016
New York Knicks,32,2016
Brooklyn Nets,21,2016
Philadelphia 76ers,10,2016
Central Division,Central Division,2016
Cleveland Cavaliers*,57,2016
Indiana Pacers*,45,2016
Detroit Pistons*,44,2016
Chicago Bulls,42,2016
Milwaukee Bucks,33,2016
Southeast Division,Southeast Division,2016
Miami Heat*,48,2016
Atlanta Hawks*,48,2016
Charlotte Hornets*,48,2016
Washington Wizards,41,2016
Orlando Magic,35,2016
Northwest Division,Northwest Division,2016
Oklahoma City Thunder*,55,2016
Portland Trail Blazers*,44,2016
Utah Jazz,40,2016
Denver Nuggets,33,2016
Minnesota Timberwolves,29,2016
Pacific Division,Pacific Division,2016
Golden State Warriors*,73,2016
Los Angeles Clippers*,53,2016
Sacramento Kings,33,2016
Phoenix Suns,23,2016
Los Angeles Lakers,17,2016
Southwest Division,Southwest Division,2016
San Antonio Spurs*,67,2016
Dallas Mavericks*,42,2016
Memphis Grizzlies*,42,2016
Houston Rockets*,41,2016
New Orleans Pelicans,30,2016
Boston Celtics*,53,2017
Cleveland Cavaliers*,51,2017
Toronto Raptors*,51,2017
Washington Wizards*,49,2017
Atlanta Hawks*,43,2017
Milwaukee Bucks*,42,2017
Indiana Pacers*,42,2017
Chicago Bulls*,41,2017
Miami Heat,41,2017
Detroit Pistons,37,2017
Charlotte Hornets,36,2017
New York Knicks,31,2017
Orlando Magic,29,2017
Philadelphia 76ers,28,2017
Brooklyn Nets,20,2017
Golden State Warriors*,67,2017
San Antonio Spurs*,61,2017
Houston Rockets*,55,2017
Los Angeles Clippers*,51,2017
Utah Jazz*,51,2017
Oklahoma City Thunder*,47,2017
Memphis Grizzlies*,43,2017
Portland Trail Blazers*,41,2017
Denver Nuggets,40,2017
New Orleans Pelicans,34,2017
Dallas Mavericks,33,2017
Sacramento Kings,32,2017
Minnesota Timberwolves,31,2017
Los Angeles Lakers,26,2017
Phoenix Suns,24,2017
Atlantic Division,Atlantic Division,2017
Boston Celtics*,53,2017
Toronto Raptors*,51,2017
New York Knicks,31,2017
Philadelphia 76ers,28,2017
Brooklyn Nets,20,2017
Central Division,Central Division,2017
Cleveland Cavaliers*,51,2017
Milwaukee Bucks*,42,2017
Indiana Pacers*,42,2017
Chicago Bulls*,41,2017
Detroit Pistons,37,2017
Southeast Division,Southeast Division,2017
Washington Wizards*,49,2017
Atlanta Hawks*,43,2017
Miami Heat,41,2017
Charlotte Hornets,36,2017
Orlando Magic,29,2017
Northwest Division,Northwest Division,2017
Utah Jazz*,51,2017
Oklahoma City Thunder*,47,2017
Portland Trail Blazers*,41,2017
Denver Nuggets,40,2017
Minnesota Timberwolves,31,2017
Pacific Division,Pacific Division,2017
Golden State Warriors*,67,2017
Los Angeles Clippers*,51,2017
Sacramento Kings,32,2017
Los Angeles Lakers,26,2017
Phoenix Suns,24,2017
Southwest Division,Southwest Division,2017
San Antonio Spurs*,61,2017
Houston Rockets*,55,2017
Memphis Grizzlies*,43,2017
New Orleans Pelicans,34,2017
Dallas Mavericks,33,2017
Toronto Raptors*,59,2018
Boston Celtics*,55,2018
Philadelphia 76ers*,52,2018
Cleveland Cavaliers*,50,2018
Indiana Pacers*,48,2018
Miami Heat*,44,2018
Milwaukee Bucks*,44,2018
Washington Wizards*,43,2018
Detroit Pistons,39,2018
Charlotte Hornets,36,2018
New York Knicks,29,2018
Brooklyn Nets,28,2018
Chicago Bulls,27,2018
Orlando Magic,25,2018
Atlanta Hawks,24,2018
Houston Rockets*,65,2018
Golden State Warriors*,58,2018
Portland Trail Blazers*,49,2018
Oklahoma City Thunder*,48,2018
Utah Jazz*,48,2018
New Orleans Pelicans*,48,2018
San Antonio Spurs*,47,2018
Minnesota Timberwolves*,47,2018
Denver Nuggets,46,2018
Los Angeles Clippers,42,2018
Los Angeles Lakers,35,2018
Sacramento Kings,27,2018
Dallas Mavericks,24,2018
Memphis Grizzlies,22,2018
Phoenix Suns,21,2018
Atlantic Division,Atlantic Division,2018
Toronto Raptors*,59,2018
Boston Celtics*,55,2018
Philadelphia 76ers*,52,2018
New York Knicks,29,2018
Brooklyn Nets,28,2018
Central Division,Central Division,2018
Cleveland Cavaliers*,50,2018
Indiana Pacers*,48,2018
Milwaukee Bucks*,44,2018
Detroit Pistons,39,2018
Chicago Bulls,27,2018
Southeast Division,Southeast Division,2018
Miami Heat*,44,2018
Washington Wizards*,43,2018
Charlotte Hornets,36,2018
Orlando Magic,25,2018
Atlanta Hawks,24,2018
Northwest Division,Northwest Division,2018
Portland Trail Blazers*,49,2018
Oklahoma City Thunder*,48,2018
Utah Jazz*,48,2018
Minnesota Timberwolves*,47,2018
Denver Nuggets,46,2018
Pacific Division,Pacific Division,2018
Golden State Warriors*,58,2018
Los Angeles Clippers,42,2018
Los Angeles Lakers,35,2018
Sacramento Kings,27,2018
Phoenix Suns,21,2018
Southwest Division,Southwest Division,2018
Houston Rockets*,65,2018
New Orleans Pelicans*,48,2018
San Antonio Spurs*,47,2018
Dallas Mavericks,24,2018
Memphis Grizzlies,22,2018
Milwaukee Bucks*,60,2019
Toronto Raptors*,58,2019
Philadelphia 76ers*,51,2019
Boston Celtics*,49,2019
Indiana Pacers*,48,2019
Brooklyn Nets*,42,2019
Orlando Magic*,42,2019
Detroit Pistons*,41,2019
Charlotte Hornets,39,2019
Miami Heat,39,2019
Washington Wizards,32,2019
Atlanta Hawks,29,2019
Chicago Bulls,22,2019
Cleveland Cavaliers,19,2019
New York Knicks,17,2019
Golden State Warriors*,57,2019
Denver Nuggets*,54,2019
Portland Trail Blazers*,53,2019
Houston Rockets*,53,2019
Utah Jazz*,50,2019
Oklahoma City Thunder*,49,2019
San Antonio Spurs*,48,2019
Los Angeles Clippers*,48,2019
Sacramento Kings,39,2019
Los Angeles Lakers,37,2019
Minnesota Timberwolves,36,2019
Memphis Grizzlies,33,2019
New Orleans Pelicans,33,2019
Dallas Mavericks,33,2019
Phoenix Suns,19,2019
Atlantic Division,Atlantic Division,2019
Toronto Raptors*,58,2019
Philadelphia 76ers*,51,2019
Boston Celtics*,49,2019
Brooklyn Nets*,42,2019
New York Knicks,17,2019
Central Division,Central Division,2019
Milwaukee Bucks*,60,2019
Indiana Pacers*,48,2019
Detroit Pistons*,41,2019
Chicago Bulls,22,2019
Cleveland Cavaliers,19,2019
Southeast Division,Southeast Division,2019
Orlando Magic*,42,2019
Charlotte Hornets,39,2019
Miami Heat,39,2019
Washington Wizards,32,2019
Atlanta Hawks,29,2019
Northwest Division,Northwest Division,2019
Denver Nuggets*,54,2019
Portland Trail Blazers*,53,2019
Utah Jazz*,50,2019
Oklahoma City Thunder*,49,2019
Minnesota Timberwolves,36,2019
Pacific Division,Pacific Division,2019
Golden State Warriors*,57,2019
Los Angeles Clippers*,48,2019
Sacramento Kings,39,2019
Los Angeles Lakers,37,2019
Phoenix Suns,19,2019
Southwest Division,Southwest Division,2019
Houston Rockets*,53,2019
San Antonio Spurs*,48,2019
Memphis Grizzlies,33,2019
New Orleans Pelicans,33,2019
Dallas Mavericks,33,2019
Milwaukee Bucks*,56,2020
Toronto Raptors*,53,2020
Boston Celtics*,48,2020
Indiana Pacers*,45,2020
Miami Heat*,44,2020
Philadelphia 76ers*,43,2020
Brooklyn Nets*,35,2020
Orlando Magic*,33,2020
Charlotte Hornets,23,2020
Washington Wizards,25,2020
Chicago Bulls,22,2020
New York Knicks,21,2020
Detroit Pistons,20,2020
Atlanta Hawks,20,2020
Cleveland Cavaliers,19,2020
Los Angeles Lakers*,52,2020
Los Angeles Clippers*,49,2020
Denver Nuggets*,46,2020
Houston Rockets*,44,2020
Oklahoma City Thunder*,44,2020
Utah Jazz*,44,2020
Dallas Mavericks*,43,2020
Portland Trail Blazers*,35,2020
Memphis Grizzlies,34,2020
Phoenix Suns,34,2020
San Antonio Spurs,32,2020
Sacramento Kings,31,2020
New Orleans Pelicans,30,2020
Minnesota Timberwolves,19,2020
Golden State Warriors,15,2020
Atlantic Division,Atlantic Division,2020
Toronto Raptors*,53,2020
Boston Celtics*,48,2020
Philadelphia 76ers*,43,2020
Brooklyn Nets*,35,2020
New York Knicks,21,2020
Central Division,Central Division,2020
Milwaukee Bucks*,56,2020
Indiana Pacers*,45,2020
Chicago Bulls,22,2020
Detroit Pistons,20,2020
Cleveland Cavaliers,19,2020
Southeast Division,Southeast Division,2020
Miami Heat*,44,2020
Orlando Magic*,33,2020
Charlotte Hornets,23,2020
Washington Wizards,25,2020
Atlanta Hawks,20,2020
Northwest Division,Northwest Division,2020
Denver Nuggets*,46,2020
Oklahoma City Thunder*,44,2020
Utah Jazz*,44,2020
Portland Trail Blazers*,35,2020
Minnesota Timberwolves,19,2020
Pacific Division,Pacific Division,2020
Los Angeles Lakers*,52,2020
Los Angeles Clippers*,49,2020
Phoenix Suns,34,2020
Sacramento Kings,31,2020
Golden State Warriors,15,2020
Southwest Division,Southwest Division,2020
Houston Rockets*,44,2020
Dallas Mavericks*,43,2020
Memphis Grizzlies,34,2020
San Antonio Spurs,32,2020
New Orleans Pelicans,30,2020
Philadelphia 76ers*,49,2021
Brooklyn Nets*,48,2021
Milwaukee Bucks*,46,2021
New York Knicks*,41,2021
Atlanta Hawks*,41,2021
Miami Heat*,40,2021
Boston Celtics*,36,2021
Washington Wizards*,34,2021
Indiana Pacers,34,2021
Charlotte Hornets,33,2021
Chicago Bulls,31,2021
Toronto Raptors,27,2021
Cleveland Cavaliers,22,2021
Orlando Magic,21,2021
Detroit Pistons,20,2021
Utah Jazz*,52,2021
Phoenix Suns*,51,2021
Denver Nuggets*,47,2021
Los Angeles Clippers*,47,2021
Dallas Mavericks*,42,2021
Portland Trail Blazers*,42,2021
Los Angeles Lakers*,42,2021
Golden State Warriors,39,2021
Memphis Grizzlies*,38,2021
San Antonio Spurs,33,2021
New Orleans Pelicans,31,2021
Sacramento Kings,31,2021
Minnesota Timberwolves,23,2021
Oklahoma City Thunder,22,2021
Houston Rockets,17,2021
Atlantic Division,Atlantic Division,2021
Philadelphia 76ers*,49,2021
Brooklyn Nets*,48,2021
New York Knicks*,41,2021
Boston Celtics*,36,2021
Toronto Raptors,27,2021
Central Division,Central Division,2021
Milwaukee Bucks*,46,2021
Indiana Pacers,34,2021
Chicago Bulls,31,2021
Cleveland Cavaliers,22,2021
Detroit Pistons,20,2021
Southeast Division,Southeast Division,2021
Atlanta Hawks*,41,2021
Miami Heat*,40,2021
Washington Wizards*,34,2021
Charlotte Hornets,33,2021
Orlando Magic,21,2021
Northwest Division,Northwest Division,2021
Utah Jazz*,52,2021
Denver Nuggets*,47,2021
Portland Trail Blazers*,42,2021
Minnesota Timberwolves,23,2021
Oklahoma City Thunder,22,2021
Pacific Division,Pacific Division,2021
Phoenix Suns*,51,2021
Los Angeles Clippers*,47,2021
Los Angeles Lakers*,42,2021
Golden State Warriors,39,2021
Sacramento Kings,31,2021
Southwest Division,Southwest Division,2021
Dallas Mavericks*,42,2021
Memphis Grizzlies*,38,2021
San Antonio Spurs,33,2021
New Orleans Pelicans,31,2021
Houston Rockets,17,2021
Miami Heat*,53,2022
Boston Celtics*,51,2022
Milwaukee Bucks*,51,2022
Philadelphia 76ers*,51,2022
Toronto Raptors*,48,2022
Chicago Bulls*,46,2022
Brooklyn Nets*,44,2022
Cleveland Cavaliers,44,2022
Atlanta Hawks*,43,2022
Charlotte Hornets,43,2022
New York Knicks,37,2022
Washington Wizards,35,2022
Indiana Pacers,25,2022
Detroit Pistons,23,2022
Orlando Magic,22,2022
Phoenix Suns*,64,2022
Memphis Grizzlies*,56,2022
Golden State Warriors*,53,2022
Dallas Mavericks*,52,2022
Utah Jazz*,49,2022
Denver Nuggets*,48,2022
Minnesota Timberwolves*,46,2022
Los Angeles Clippers,42,2022
New Orleans Pelicans*,36,2022
San Antonio Spurs,34,2022
Los Angeles Lakers,33,2022
Sacramento Kings,30,2022
Portland Trail Blazers,27,2022
Oklahoma City Thunder,24,2022
Houston Rockets,20,2022
Atlantic Division,Atlantic Division,2022
Boston Celtics*,51,2022
Philadelphia 76ers*,51,2022
Toronto Raptors*,48,2022
Brooklyn Nets*,44,2022
New York Knicks,37,2022
Central Division,Central Division,2022
Milwaukee Bucks*,51,2022
Chicago Bulls*,46,2022
Cleveland Cavaliers,44,2022
Indiana Pacers,25,2022
Detroit Pistons,23,2022
Southeast Division,Southeast Division,2022
Miami Heat*,53,2022
Atlanta Hawks*,43,2022
Charlotte Hornets,43,2022
Washington Wizards,35,2022
